epsilon: 5000, delta: 1000, interval: 1000, alpha: 1, max_epoch: 733161, max_offset_size: 0, mean_offset_size: 0.0, max_counter: 0, max_counter_size: 0, mean_counter_size: 0.0
epsilon: 10000, delta: 1000, interval: 1000, alpha: 1, max_epoch: 702230, max_offset_size: 0, mean_offset_size: 0.0, max_counter: 0, max_counter_size: 0, mean_counter_size: 0.0
epsilon: 15000, delta: 1000, interval: 1000, alpha: 1, max_epoch: 676960, max_offset_size: 0, mean_offset_size: 0.0, max_counter: 0, max_counter_size: 0, mean_counter_size: 0.0
epsilon: 20000, delta: 1000, interval: 1000, alpha: 1, max_epoch: 691210, max_offset_size: 0, mean_offset_size: 0.0, max_counter: 0, max_counter_size: 0, mean_counter_size: 0.0
epsilon: 10000, delta: 1000, interval: 1000, alpha: 1, max_epoch: 611240, max_offset_size: 0, mean_offset_size: 0.0, max_counter: 0, max_counter_size: 0, mean_counter_size: 0.0
epsilon: 10000, delta: 2000, interval: 1000, alpha: 1, max_epoch: 694701, max_offset_size: 0, mean_offset_size: 0.0, max_counter: 0, max_counter_size: 0, mean_counter_size: 0.0
epsilon: 10000, delta: 3000, interval: 1000, alpha: 1, max_epoch: 700652, max_offset_size: 0, mean_offset_size: 0.0, max_counter: 0, max_counter_size: 0, mean_counter_size: 0.0
epsilon: 10000, delta: 4000, interval: 1000, alpha: 1, max_epoch: 697843, max_offset_size: 0, mean_offset_size: 0.0, max_counter: 0, max_counter_size: 0, mean_counter_size: 0.0
epsilon: 10000, delta: 5000, interval: 1000, alpha: 1, max_epoch: 686174, max_offset_size: 0, mean_offset_size: 0.0, max_counter: 0, max_counter_size: 0, mean_counter_size: 0.0
epsilon: 10000, delta: 6000, interval: 1000, alpha: 1, max_epoch: 676855, max_offset_size: 0, mean_offset_size: 0.0, max_counter: 0, max_counter_size: 0, mean_counter_size: 0.0
epsilon: 10000, delta: 7000, interval: 1000, alpha: 1, max_epoch: 669746, max_offset_size: 0, mean_offset_size: 0.0, max_counter: 0, max_counter_size: 0, mean_counter_size: 0.0
